title,reviews
100% 울프: 푸들이 될 순 없어 (100% Wolf),"12월~ 크리스마스 앞두고 아주 반가운 소식이 들리네요.
영화 <100% 울프: 푸들이 될 순 없어> 12월 24일 개봉을 앞두고
개봉 전 최초로 온라인 후원 상영회를 한다고 하네요.
12월 기대작을 온라인으로 가장 먼저 만나볼 수 있다니 
너무 좋은 기회인 거 같아요.

많은분들이 꿀벌마야의 모험을 그린 <마야>시리즈 기억하실거 같은데
그 알렉스 스타더만 감독님의 신작이랍니다.
이 영화에서는 푸들이 되어버린 늑대인간 소년 이야기가 
완전 흥미진진하게 펼쳐질 예정이에요~

 유서 깊은 늑대인간 가문의 후계자 프레디는 자랑스러운 아버지의 뒤를 이어
위기에 빠진 인간들을 구하는 임무를 수행할 날만을 손꼽아 기다리고 있었는데요.
드디어 꿈에 그리던 변신의 순간! 늑대가 아니라 귀여운 푸들이 되어 버렸네요.

그동안 프레디는 자신이 순도 100% 늑대인간이라고 생각했는데 
이런 일이 생기다니 ㅠ.ㅠ
자신이 순도 100% 늑대인간이라는 걸 증명하고자 
가문의 비밀이 담겨 있는 보물 문스톤을 찾아나서게 되고
그의 앞에는 상상이상의 어드벤처가 펼쳐지네요~



찬란 Naver TV 후원라이브!
12월 20일 일요일 오후 1시 30분!
이번 <100% 울프: 푸들이 될 순 없어> 후원 시사회는 
개봉전에 진행된다고 말씀드렸지요.

참여방식은 일단,
① 네이버TV '찬란'채널 접속 해 
https://tv.naver.com/challan
②'후원'버튼을 클릭하시면 돼요.
③영화를 선택 후 약관동의 
④2시까지 결제되면 당일내 관람 가능해요.

그런데, 놀랍네요.
후원가격이 1,000원이라니. 
이 가격 실화인가요? 대박~♬

심지어 스페셜 리뷰 이벤트도 진행되네요.
<100% 울프: 푸들이 될 순 없어> 후원라이브로 영화 관람 후
리뷰를 남겨주시면 추첨을 통해 스페셜 굿즈를 선물로 받을 수 있답니다. wow~



 늑대인간 후계자, 푸들이 되다?
12월, 순도 100% 늑대가 되기 위한 모험이 시작된다!

개봉 전 미리 여러분께 예고편 공유해 드릴께요~
https://tv.naver.com/v/17126118
동영상
영화 <100% 울프: 푸들이 될 순 없어> 메인 예고편
찬란 | INFORMATION 감독 : 알렉스 스타더만 장르 : 늑생회복 판타지 어드벤처 개봉 : 2020년 12월 24일 STORY 완벽한 늑대라고 ...
tv.naver.com
늑대인간들의 세계와 들개들의 세계, 
그리고 문스톤을 찾아 모험을 떠나는 프레디의 여정에는
암도적인 비주얼이 펼쳐질 예정이라고 하니 
모두 기대하셔도 좋을 거 같네요~ ^^


<100% 울프: 푸들이 될 순 없어>
네이버TV #온라인 #언택트 후원 시사회에 참여하세요!
2020년 12월 20일 (일) 오후 1시 30분
https://tv.naver.com/challan
찬란 : 네이버TV
tv.naver.com

#늑생회복 #판타지 #어드벤쳐 #모험 #감동
#울프_푸들이될순없어 #12월24일 개봉
#네이버TV #후원 #라이브 #영화추천

100% 울프: 푸들이 될 순 없어
감독
알렉스 슈타더만
개봉
2020.12.24. 오스트레일리아, 벨기에
평점
리뷰보기"
100% 울프: 푸들이 될 순 없어 (100% Wolf),"아직 어려서 늑대가 되지 못한 늑대인간 프레디는 얼른 아빠처럼 사람들을 도와주는 멋진 늑대가 되고 싶어 한다.

하지만 그가 늑대가 되면 형 플래시아트의 자리를 물려받을까 싶어 프레디의 삼촌 핫스퍼는 프레디를 경계한다.

그러던 어느 날, 길을 지나던 아이스크림 장수가 프레디와 플래시아트가 함께 있는 걸 보고 늑대가 아이를 해치려는 것으로 오해한다.

이에 그느 프레디를 구하려 들고, 이 과정에서 플래시아트가 낭떠러지로 떨어진다.

플래시아트가 죽었다고 생각한 늑대인간들은 프레디를 후계자로 삼기 위해 늑대인간 변신 의식을 준비한다.

그런데 이게 웬일인가! 프레디는 늑대가 아닌 조그만 푸들로 변신한다.

핫스퍼는 기회는 이때다 싶어 프레디를 몰아 세우고, 의식에 참여한 늑대인간들은 개를 차기 지도자로 삼을 수 없다며 하루의 시간을 줄테니 100% 늑대임을 증명해 보이라는 조건을 제시한다.

프레디는 이게 다 자신이 몬스터 반지를 잃어버려 저주 받았기 때문이라고 생각해 반지를 찾아나선다.

그는 떠돌이 개 베티의 도움으로 반지를 찾는데 성공한다.

이에 베티는 자신을 도와주면 고기가 가득한 방에 데려가겠다는 약속을 지키라고 프레디에게 요구하고, 프레디는 개를 끔찍이 싫어하는 늑대들이 득실거리는 자기 집에 베티를 데려가는 것에 난감해 한다.

프레디는 외모 때문에 늘 버림받았던 베티에게 네가 싫어서가 아니라고 사정을 설명하려 하지만 선뜻 자신이 늑대인간이라는 사실을 말하지 못하고 뜸을 들인다.

그때 마침 개 사냥꾼이 등장해 프레디와 베티를 어디론가 잡아 간다.

애니메이션 <100% 울프: 푸들이 될 순 없어>는 한 늑대소년의 자아성찰을 통해 외모비하와 더불어 자신과 다름을 인정하려 들지 않음에 대해 비판한다.

늑대인간들은 프레디가 늑대가 아닌 푸들로 변신하자 분명 자신들의 핏줄임에도 불구하고 그를 인정하려 들지 않는다.

여기에서 한 발 더 나아가 프레디의 삼촌 핫스퍼는 세상 모든 개들을 죽이기 위해 계략을 꾸민다.

이는 마치 히틀러가 ‘인종 청소’를 내세워 유대인을 학살한 사건과 닮았다.

또 베티는 못 생긴 외모 탓에 매번 분양에 실패해 결국 주인 없이 거리를 떠도는 개가 됐다.

아울러 프레디가 개 사냥꾼에 잡혔을 때 만난 트윗치는 누가 자신에게 작다는 말만 하면 화를 참지 못해 돌변한다.

이런 것들을 통해 관객들에게 자연스레 차이를 인정하고, 차별 없이 더불어 살아가는 사회를 만들어 가자는 메시지를 전한다.

애니메이션 <100% 울프: 푸들이 될 순 없어>는 오는 24일 개봉한다.

/마이스타 이경헌 기자

기사 원문보기 http://www.mystar.ne.kr/archives/7911
차이를 인정하고, 차별 없는 세상 강조 | 마이스타
아직 어려서 늑대가 되지 못한 늑대인간 프레디는 얼른 아빠처럼 사람들을 도와주는 멋진 늑대가 되고 싶어 한다. 하지만 그가 늑대가 되면
www.mystar.ne.kr
100% 울프: 푸들이 될 순 없어
감독
알렉스 슈타더만
개봉
2020.12.24. 오스트레일리아, 벨기에
리뷰보기
 "
100% 울프: 푸들이 될 순 없어 (100% Wolf),"  
 [영화] 100%울프 푸들이 될순없어

예전과 너무 다른 크리스마스분위기네요.ㅜ
오늘 하루 잘 보내셨나요?~~~
오늘은 아이들과 극장에 다녀왔어요. 거리두리로 한자리씩 띄어앉기로 관람하고 왔네요.
집앞이라 영화보는시간맞춰서 갔다가
끝나고 바로 오고, 방역수칙을 준수하고 관람하고 왔습니다.ㅠㅠ
(극장에서 음식섭취 안되서 팝콘외 반입금지)

100%울프 푸들이 될순없어는 정말 상상을 뛰어넘는...이야기같아요.
늑대인줄알았는데, 늑대인간.....
그리고 푸들....ㅎ
그리고 강아지들과의 우정...
아이들이 요즘 집에만 있다가 재미있게보고, 기분전환하고 온것같아서, 다행이더라구요~
상상력이 한뼘더 큰것같아서,
동물을 좋아하는 친구들이라면 더 몰입해서 볼것같아요~ㅎㅎ
추천합니다~~~ ㅎ
100% 울프: 푸들이 될 순 없어
감독 알렉스 슈타더만 개봉 2020.12.24. 오스트레일리아, 벨기에
리뷰보기"
100% 울프: 푸들이 될 순 없어 (100% Wolf),"100% 울프: 푸들이 될 순 없어
감독
알렉스 슈타더만
개봉
2020.12.24. 오스트레일리아, 벨기에
리뷰보기




마음은 울프나 늑대인데

몸과 현실은 푸들이라면

정말이지 기가 죽지요.

그러나 현실에서는

푸들이 더 사랑을 받고요.







사람이나 동물은 자기

생긴 대로 살아가야지요.

울프는 울프들 속에서 사납게

푸들은 푸들들 속에서 귀엽게

크는 것이 더 현실적이지요."
공수도 (Justice High)," 
공수도(Justice High, 2019)
분야 : [ 영화 ]      제작국가 : 한국
개봉일 : 2020.03.05 개봉(올레TV 초이스)
러닝타임 : 112분
관람등급 : 15세 관람가
쟝르 : 액션, 코미디
배급사 : (주)그노스


= 메인 예고편 =
 
= 시놉시스 =
정의롭지만 나약하기 짝이 없는 ‘종구’.
그의 앞에 등장한 공수도 관장의 딸이자 공수도 유단자인 ‘채영’.
여기에 일진 생활에 염증을 느끼고 새로운 시작을 위해 애쓰는 ‘해성’이 합류해
공수도라는 이름 아래 함께 성장해가는 청춘 액션물.


영화정보 더 보러가기
http://www.artz.co.kr/main/cultureMain.php?inc=cultureView&code=2&idx=11533&tbname=movie&code=2
::::문화예술 정보커뮤니티 - 아츠(ARTZ)
문화정보 > 영화 > 상세 정보 공수도(Justice High, 2019) 분야 : [ 영화 ]      제작국가 : 한국 개봉일 : 2020.03.0...
www.artz.co.kr"
극장판 미니특공대: 햄버거괴물의 습격,"극장판 미니특공대 햄버거 괴물의 습격 보고
손소독티슈 받았네요!!


극장판 포켓몬스터가 미니특공대랑 같은 날인 9월 30일에 개봉을 했지요.
뭘 먼저 볼까가 문제였는데요.
추석연휴 기간동안은 영화 볼 틈이 없어서 결국 집에 올라온 주말에 나눠서 보았어요. ㅎㅎ
cgv생일콤보 써먹으려고 했는데 뭔가 바꼈더라고요. ㅠ ㅠ
50%할인으로 바뀐데다가 오늘 갔던 cgv부평은 해당이 없다는군요.
아무래도 올해도 못 써먹을듯요. ㅎㅎ

네이버 지도가 첨부되었습니다.
네이버 지도는 원본 포스트에서 볼수 있습니다. 원본보기



티켓인증은 해줘야쥬.
신랑이 출근한 독박육아의 주일이라서 애들이랑 저 이렇게 3명이서 봤어요.
역시나 좌석간 자리 띄우기.





영화 볼 땐 선착순 극장선물 받는 재미가 있어야쥬.
이건 cgv앱에서 본 이벤트입니다.
미니특공대 인스타에서는 공지를 못 본 거 같아요.
31군데만 진행하는데 다행히 제가 갔던 cgv부평은 경품지급 지점이네요.
굿즈 주는 영화가 좋아요!! ㅋ




1매밖에 안 들은 안심 손소독티슈이지만 또 쓸모가 있을 수도 있으니까 우선은 받아 둡니다. ㅎㅎ
지금 받았다는 표시를 입장권에 해주시네요.




극장선물은 장난감인 줄 기대하던 둘째. ㅎㅎ
그래도 뭔가 받아서 기분은 좋아요.




개봉 : 2020.09.30.
등급 : 전체 관람가
장르 : 애니메이션, 액션
국가 : 한국
러닝타임 : 86분
배급 : ㈜리틀빅픽처스
줄거리

블루시티 최고의 맛집 Mr.J버거에서 햄버거를 먹는 모습이 우연히 찍힌 볼트는 SNS에서 엄청난 조회수를 기록한 이 영상 덕분에 Mr.J버거의 광고 모델로 발탁된다. 하루아침에 슈퍼스타가 된 볼트는 바쁜 스케줄로 친구들과 다투고 결국 미니특공대를 탈퇴해버린다. 그러던 중 햄버거만 먹는 세상을 만들려는 브레이커J와 햄버거 괴물 군단이 나타나 평화롭던 블루시티를 위험에 빠뜨리고 리더 볼트가 빠진 미니특공대는 속수무책으로 당하고 마는데… 세상을 지배한 막강 햄버거 괴물 군단! 새롭게 업그레이드된 미니특공대의 반격이 시작된다!
 

미스터J 햄버거는 줄서서 먹을 정도로 인기가 많은 햄버거라쥬. ㅎㅎ
미니특공대도 넘나 좋아하는 햄버거.




헌데 브레이커J라는 존재가 나타나서 식당만 공격하네요.
미스터J와 브레이커J 둘다 J가 들어가는 것이 수상? ㅎ




이상한 요리하는 로봇까지 나타나고요.
치즈 공격은 윽~~~




이분이 미스터J입니다.
SNS에서 스타가 된 볼트가 미스터J 햄버거의 모델이 되쥬.




인기가 올라감에 따라 으쓱으쓱해진 볼트.
결국 미니특공대를 탈퇴하기까지에 이르렀어요. ㅠ ㅠ




포테이토, 너겟 괴물에다가~~




피자, 콜라 괴물까지.
완전 패스트푸드 뿐이로군요.




햄버거 괴물은 미니특공대에 비해 힘이 무쟈게 쎄네요.
파워볼 때문이겠져?




브레이커J의 햄버거 따위가 뭘 아냐는 말에 충격!!




브레이커J에게 붙잡혀 온 볼트를 구하러 온 친구들.
역시 우정이 최고져.




식당들이 다 사라져서 햄버거만 먹게 된 도시를 미니특공대는 잘 구하겠져. ㅎㅎ
원래 마지막은 늘 주인공들이 승리하는 법이니까요.
아이들이 너무 재밌었다고 해서 뿌듯했답니다. 유후~


극장판 미니특공대: 햄버거괴물의 습격
감독
이영준
개봉
2020.09.30. 대한민국
평점
리뷰보기


-내돈내산 후기입니다-"
뉴 뮤턴트 (The New Mutants),"[오늘 돈 안 내고 본 새 마블 대작(?) <뉴 뮤턴트>]

새벽에 <원더우먼 1984> 개봉이 결국 10월 2일에서
12월 25일로 밀리며 다시 104일 더 기다려야 함을
인정해야만 했던 암흑의 코로나 시대 토요일.

그냥 방콕하며 블로그에다 글들이나 쓸까 하다가
그래도 씨제이원포인트 남은 걸로 VIP 무료 결제로
CGV에서 영화 한 편 볼 수 있기에 이미 골든에그지수
60%란 처참한 관객들 반응을 알고 있었던 이 영화를
보기로 했다.

그나마 아직 안 본 영화들중엔 이거밖에 남아있는 게
없었고 북미 흥행 1위였단 뉴스를 최근에 접하기도
했었기에... 아주 약간의 기대는 가진 채 말이다.

극장안에 돈 안 내고 들어가 자리 앉아 영화 정보를
상영 전 검색했는데 아... 마블 영화였군...

마블 영화인 줄도 모르고 무료 결제했는데 내 돈
천원이라도 내고 들어갔더라면 후회 막심했겠네.
ㅋㅋㅋㅋㅋㅋㅋ

마블충들 개싸가지 때문에 난 마블 영화 볼 땐 언제나
무료관람권으로만 보고 내 돈은 한 푼도 안 쓰거든.

마블 영화들은 내 돈을 주고 볼 가치가 없으니까.

영화는... 이런 게 어찌 북미 흥행 1위를 잠시나마
했었는지 민망할 만큼... 마블 영화들 중에서도
최악이었다.

처음부터 끝까지 졸진 않고 봤는데 분명 두 눈은
스크린을 주시했지만 머리속엔 <원더우먼 1984>
예고편 장면들만 계속 생각이 났다. ㅋㅋㅋㅋㅋㅋㅋ

그래서 상영시간 내내 갤가돗의 이쁘고 섹쉬한
예고편속 모습들만 계속 머리속에서 떠올리다가
극장을 나왔다. ㅋㅋㅋㅋㅋㅋㅋ

아니... 솔직히 이 영화는 영화 자체가 집중하면서
한 장면 한 대사도 놓치지 않고 볼만한 그런 가치가
있는 퀄리티가 정말 아니라서 난 오늘 내가 극장
안에서 상영시간동안 아주 최상의 현명한 행동을
하다가 나온거라 자부한다.

건진 대사와 내용?

두가지가 있긴 하다.

1.
인간의 마음속엔 착한 곰과 악한 곰. 두마리 곰탱이가
존재하는데 그 두마리가 싸우면 누가 이기냐면...
내가 먹이를 주는 놈이란다.

2.
방울뱀은 새끼일수록 더 위험하다. 새끼는 독의 양을
조절할 줄 모르기 때문이다.

뭐... 그래도 이거 두 갠 건지고 나왔으니 상영시간
내내 머리속에선 섹쉬한 수영복같은 원더우먼 수트
입고 아슬아슬한 모습 보여주는 갤가돗 생각만 계속
하긴 했지만 아예 헛 본 건 아니네.

ㅋㅋㅋㅋㅋㅋㅋ"
라이어트: 기계들의 역습 (Robot riot),"포스터 보고 속았다. 진짜, 이건 속은 거다. 사기 당한 거다. 포스터 보면 왠지 '퍼시픽 림' 느낌 나고


'인간vs기계, 최후의 전투가 시작된다' 이러길래 말 그대로 기계들과 싸우는 전쟁영환가 했는데, 이건 무슨... 하...
배우들 연기도 똥이고... 그냥 배틀그라운드를 C급 영화로 만든 느낌이다. 아니 최고의 살상기계라면서 눈 앞에 넘어진 사람 하나 못죽이나? 포스터만 볼 게 아니고 네이버 평점을 봤어야 되는데... 진짜 사기다 이건.ㅋㅋ"
뮤지컬 브로드웨이 42번가 (42nd Street: The Musical),"[영화 뮤지컬 브로드웨이 42번가] 조금은 부족하지만 그래도 Oldies, but goodies

뉴욕 브로드웨이 오디션을 다룬 화려한 뮤지컬을 영국 Royal Drury Lane에서 열린 실황 공연을 스크린으로 상영하므로 공연 현장을 대리만족시켜주는 콘텐츠다.
브로드웨이 42번가의 내용은 너무 뻔하고 잘 알려졌다.
더구나 등장인물이 모두 착하고 열심히 살아가는 사람들이라 흔한 갈등 요소도 없어 긴장감이 없다.
그럼에도 뮤지컬이라는 장점을 모두 모아놓은 종합선물세트와 같아 스윙재즈에 과한 거부감이 없다면 두 시간 동안 황홀한 시간여행의 1등석에 탑승한 기분을 만끽하게 된다. 
 
상업적인 뮤지컬 공연 극장 40개가 몰려있는 브로드웨이는 치열한 경쟁의 자리다.
1930년대 대형 뮤지컬이 활성화된 시대 배경을 담으면서 당시 뮤지컬의 특성을 쉴 틈 없이 나열한다.
대형 무대의 빠른 교체, 출연진의 화려한 의상과 분장, 현란한 탭댄스, 스윙재즈풍의 노래 등등 강약 구조 없이 계속 몰아붙인다.

시골에서 뮤지컬 스타를 꿈꾸며 상경한 메기(사진상 맨 앞줄)는 주연 배우의 사고로 '귀여운 여인'의 주인공으로 발탁된다.
감춰둔 실력과 노력으로 성공적인 공연을 마치고 연출가 마쉬와의 사랑도 이뤄진다.
주인공 메기 역을 맡은 클레어 할세는 분명 월등한 탭댄스 실력을 갖추었는데 공연 초반에는 개인적으로 여성적인 매력이 느껴지지 않았다. 

CGV 단독 상영이라 회사를 기준으로 평택과 평촌을 선택해야 되는데 평택이 컴포트관이라는 선택했는데 결과적으로 잘못된 선택이었다.
가죽 시트라는 장점이 외 직각의 등받이로 매우 불편하였다.
CGV는 불편함으로 악명이 높아 특별관과 아트하우스를 포함한 단독 상영이 아니면 찾지 않게 된다.
명동시네라이브러리는 창고에서 영화를 상영하는 것 같다.
압구정은 의자가 균형을 못 잡고 뒤로 눕혀져 황당하고 혜화는 무릎이 닿는다.    

좋은 콘텐츠에도 불구하고 화면이 너무 흐릿하고 초점이 맞지 않았다.
상영관의 문제인지 촬영 기술 문제인지 모르겠지만 고가의 티켓을 감안하면 실망이었다. 

뉴올리언스 재즈를 바탕으로 만든 음악이 지금 EDM 사운드만큼 화려하고 힙합보다 열정이 넘친다.
별도의 스토리에 치중하지 않고 뮤지컬의 본질을 정면돌파한 만큼 출연진의 질적 완성도와 양적 스케일이 놀라움의 연속이다.
과장된 유머 코드도 공연이라는 현장에 어울리는 웃음이었다.

공연 실황이라 인터미션 시간을 알리는 자막은 있지만 실제 쉬는 시간이 없다.
오프닝과 엔딩에 들려오는 화려한 음악이 이상하게 처량하고 슬프게 들려왔다.
스타를 꿈꾸며 성공한 사람과 좌절하고 고향으로 돌아가는 배우들의 삶이 브로드웨이 42번가에 묻어난다.
뮤지컬 브로드웨이 42번가
감독
마크 브램블, 로스 맥기븐
출연
보니 랭포드, 자스나 이브, 애슐리 데이, 톰 리스터, 클레어 할세
개봉
2020.07.08. 미국
리뷰보기"
삼진그룹 영어토익반 (SAMJIN COMPANY ENGLISH CLASS),"삼진그룹 영어토익반
감독
이종필
출연
고아성, 이솜, 박혜수
개봉
2020.10.21. 한국
평점
리뷰보기

<SG-MV-20-15-C12>

처음 영화 보자마자
'아 저렇게 일했다고?엿같은데..' 라고 시작..
제목,포스터에서 느껴지듯 90년대를 배경이고
회사 내부에서 발생한 잘못한 일들을
실무는 만랩인데 대우는 못받는 세 여직원들이
풀어나가 스모킹건을 당기는 영화다.
예전과는 달라진 부분이 있겠으나 그때나
지금이나 변하지 않는 부조리한 현실들을 깊게 비추지는 않아도 딱 보이게끔 알려주고 있다.
세 주연들과 조연들의 합에다가 뻔한 흐름에 조금씩 비트는 반전들로 소소한 재미를 주었다.
봉부장의 상담과 독백이 공감가며 여운이 남은
오랜만에 극장에서 시간 아깝지 않은 영화.
(개인적으로 봉부장같은 사수를 만나기는 굉장히
힘들다 생각함)
하고싶은거 다 할수는 없겠지만 그러려고
노력은 해봐겠다고 다시 다짐!!"
